Timestamp,Vehicle_ID,Vehicle_Type,Speed_KMH,Over_Limit
2026-07-27 19:28:59,0,Car,11.2,No
2026-07-27 19:29:00,30,Car,8.6,No
2026-07-27 19:29:01,3,Car,38.5,No
2026-07-27 19:29:02,7,Car,8.1,No
2026-07-27 19:29:03,10,Car,45.0,No
2026-07-27 19:29:05,61,Car,40.5,No
2026-07-27 19:29:07,69,Car,35.2,No
2026-07-27 19:29:10,82,Car,23.8,No
2026-07-27 19:29:11,139,Car,50.6,No
2026-07-27 19:29:14,291,Car,80.9,Yes
2026-07-27 19:29:15,279,Car,38.5,No
2026-07-27 19:29:15,292,Truck,39.5,No
2026-07-27 19:29:17,349,Car,73.6,Yes
2026-07-27 19:29:31,545,Car,10.1,No
2026-07-27 19:29:40,664,Car,9.7,No
2026-07-27 19:29:42,682,Car,7.3,No
2026-07-27 19:29:53,706,Bus,5.6,No
2026-07-27 19:29:53,780,Car,5.4,No
2026-07-27 21:25:47,0,Car,11.2,No
2026-07-27 21:25:49,30,Car,8.6,No
2026-07-27 21:25:52,3,Car,38.5,No
2026-07-27 21:25:53,7,Car,8.1,No
2026-07-27 21:25:56,10,Car,45.0,No
2026-07-27 21:26:01,61,Car,40.5,No
